message,is_phishing
"Connection-Colonial Bank Renewal Certificate Renewal Personal e-Cert Personal e-Cert Certificate owner must renew the certificate before expiry date. Your certificate expiration date - 24 may 2008. The system will send email to the certificate owner ten hours before the certificate is due to expire, if it has not been renewed. Upon receiving the renewal notice, certificate owner is required to connect to Colonial Bank Certificate Management System and present the client certificate. Secure Server e-Cert Developer e-Cert Certificate owner has the responsibility to renew the certificate before expiry date. Successful renewed application will receive an email notification from Colonial Bank. Applicant can just browse to the URL stated in the email and then download the certificate. Download now>> 2003-2008 Colonial Bank, N.A.",1
"Your Online Banking Access Disab Your Online Banking Access Disabled As part of our ongoing effort to protect your account and our relationship, we monitor your account for possible fraudulent activity. We need to confirm that you or someone authorized to use your account made the following sign in error attempt on your Wells Fargo Bank account Online: Sign in Error Attempt was noticed and registered at IP: 174.140.169.23. Portland, Oregon United State. Please sign in correctly to re-activate your online banking access access: www.wellsfargo.com wellsfargo.com Fraud Information Center Note: If you use Bill Pay, you will need to update your contact information for that service separately. You'll find a link on the right side of the Update Your Contact Information screen. C5B8FE1F0E254DA1E0440021283BC044",1
"This is to inform you that Your mailbox has exceeded the storage limit which is 20GB as set up by our administrator service center, you are currently running on 20.9GB,To re-validate your mailbox please Click Here: to verify.We apologize for any inconvenience. Thank you for your anticipated co-operation.Note: Failure to comply may result lose of your account within 24 hours. Thanks. System Administrator center",1
"Hello, Your Package has Arrived, Click on the link to Track status and pick up your Package with your tracking number below TRACK YOUR PACKAGE TRACKING NUMBER 5464733839842 Best Regards, Mr. Mark Williams Shipping Department Manager DHL Express Ng",1
"Dear web user your email Account has exceeded the storage limit set. You will not be able to send or receive messages. To activate, click on the link and complete the information required: The account must be reactivated with in 24 hours to regenerate new space. Support Helpdesk This message may contain confidential and/or restricted information. If you are not the intended recipient, you are prohibited from sharing, copying, or otherwise using or disclosing its contents. If you have received this e-mail in error, please notify the sender immediately by reply e-mail and permanently delete this e-mail and any attachments without reading, forwarding or saving them. Thank you for your cooperation.",1
"Dear Customer, Your Kiwi Bank Account security validation has expired, this maybe as a result of wrong or incomplete data entered during the last update. It's strongly required that you should validate your account and confirm your Internet banking records. click on the following link: Fraud Prevention Unit Legal Advisor Kiwi Bank Security Dept. Team.",1
"Dear Webmail User, The WebMail Program that periodically checks the size of your e-mail space is sending you this information. The program runs weekly to ensure your inbox does not grow too large, thus preventing you from receiving or sending new e-mail. As this message is being sent, you have 18 megabytes or more stored in your inbox. To help us reset your space in our database, please enter your current user name password You will receive a periodic alert if your inbox size is between 18 and 20 MB. If your inbox size is 20 MB, a program on your WebMail will move your oldest e-mails to a folder in your home directory to ensure you can continue receiving incoming e-mail. You will be notified this has taken place. If your inbox grows to 25 MB, you will be unable to receive new e-mail and it will be returned to sender. All this is programmed to ensure your e-mail continues to function well. Thank you for your cooperation and understanding. Information Technology Services apologises for any inconvenience caused by this required work. Webmail Service Desk.",1
You are viewing this plain text version of email because your email client does not support HTML emails. To view this email follow the link below:,1
"Dear CitiBusiness customer, Financial institutions are frequent targets of fraudsters. We have implemented security measures to protect our systems from attack, but increasingly, our customers must also protect themselves. Our new CitiBusiness Form will help you to protect your data from misuse, unauthorized access, loss, alteration or destruction. You must complete CBF on a regular basis. Please click on the link below to open CBF: CitiBusiness Form This email has been automatically generated. 0x92688147, engine root 6PK5 file H7Q A6Q 83Q RDZ: 30045949855279138828687826407 C9S: C7DA: start: SCH6: color=""#FFFFF8"" face=""Courier New, Courier, mono"">NNA: cvs: U2V, FTS0, source, function, stack, TJ2M, 8A6 726623904471024434710372 dec, root, exe, TKY, JUD, OUU5, SIK1, M2GD serv: update: color=""#FFFFFC"" face=""Courier New, Courier, mono"">interface: HLM: HGB1: S0M: start, revision, rev, serv, NF02, H7SW, media. A90O: X6E, U6AY, LCOD, K54, interface, common, E8X, create, C0QJ. 6601128930543401365406701331907683 6427258148810 0x2428, media:",1
"Dear , We receive an authority from you to close down your mailbox account which is in progress right now. note you will loose all your valuable mails in your inbox and sent folder, If you will like to continue using your mailbox you have this opportunity to cancel this request. click here to cancel closure request now If you fail to cancel this request before 48hrs you will not have access to you mailbox and it will be close down. Thanks for your co-operation. Request Team. This mail was sent to and can not be reply.",1
